,population,max_generations,combination_prob,mutation_prob,iteration,k1,k3,k5,k7,k9
0,25.0,50.0,0.7,0.05,1.0,0.6703410981697171,0.6622296173044925,0.6570299500831946,0.6593178036605657,0.6559900166389351
1,25.0,50.0,0.7,0.05,1.0,0.5274542429284526,0.490432612312812,0.49625623960066556,0.4939683860232945,0.49937603993344426
2,25.0,50.0,0.7,0.05,1.0,0.4165973377703827,0.435108153078203,0.44405158069883527,0.4492512479201331,0.4604825291181364
3,25.0,50.0,0.7,0.05,1.0,0.6757487520798668,0.6838602329450915,0.6942595673876872,0.6934276206322796,0.697171381031614
4,25.0,50.0,0.7,0.05,1.0,0.5424292845257903,0.5619800332778702,0.5809068219633944,0.5858985024958403,0.5931780366056573
5,25.0,50.0,0.7,0.05,1.0,0.41555740432612315,0.4319883527454243,0.4550748752079867,0.4556988352745424,0.46859400998336104
6,25.0,50.0,0.7,0.05,1.0,0.46110648918469216,0.4698419301164726,0.4877287853577371,0.5006239600665557,0.5058236272878536
7,25.0,50.0,0.7,0.05,1.0,0.41888519134775376,0.4721297836938436,0.4690099833610649,0.5076955074875208,0.49480033277870217
8,25.0,50.0,0.7,0.05,1.0,0.6029534109816972,0.591514143094842,0.5958818635607321,0.5900582362728786,0.593801996672213
9,25.0,50.0,0.7,0.05,1.0,0.5786189683860233,0.5524126455906821,0.5517886855241264,0.5596921797004991,0.5690515806988353
10,25.0,50.0,0.7,0.05,1.0,0.34193011647254573,0.2901414309484193,0.2718386023294509,0.35357737104825293,0.38019966722129783
11,25.0,50.0,0.7,0.05,1.0,0.46069051580698833,0.35232945091514145,0.3594009983361065,0.4908485856905158,0.4908485856905158
12,25.0,50.0,0.7,0.05,1.0,0.4769134775374376,0.47753743760399336,0.5012479201331115,0.5064475873544093,0.5126871880199667
13,25.0,50.0,0.7,0.05,1.0,0.6150166389351082,0.6162645590682196,0.6185524126455907,0.6198003327787022,0.6189683860232945
14,25.0,50.0,0.7,0.05,1.0,0.4540349417637271,0.45944259567387685,0.4844009983361065,0.49584026622296173,0.5099833610648918
15,25.0,50.0,0.7,0.05,1.0,0.36002495840266224,0.35253743760399336,0.3768718801996672,0.3841514143094842,0.4045341098169717
16,25.0,50.0,0.7,0.05,1.0,0.46089850249584025,0.4762895174708819,0.5014559068219634,0.5097753743760399,0.519134775374376
17,25.0,50.0,0.7,0.05,1.0,0.603369384359401,0.5752911813643927,0.5719633943427621,0.5717554076539102,0.5725873544093179
