,population,max_generations,combination_prob,mutation_prob,iteration,k1,k3,k5,k7,k9
972,25.0,50.0,0.7,0.05,1.0,0.22483361064891846,0.2549916805324459,0.2608153078202995,0.2549916805324459,0.2549916805324459
973,25.0,50.0,0.7,0.05,1.0,0.22483361064891846,0.2549916805324459,0.2608153078202995,0.2549916805324459,0.2549916805324459
974,25.0,50.0,0.7,0.05,1.0,0.22483361064891846,0.2549916805324459,0.2608153078202995,0.2549916805324459,0.2549916805324459
975,25.0,50.0,0.7,0.05,1.0,0.2021630615640599,0.21630615640599002,0.2160981697171381,0.2992928452579035,0.31426788685524126
976,25.0,50.0,0.7,0.05,1.0,0.2801580698835274,0.27433444259567386,0.27433444259567386,0.2801580698835274,0.2801580698835274
977,25.0,50.0,0.7,0.05,1.0,0.2021630615640599,0.23835274542429286,0.24417637271214643,0.23835274542429286,0.2949251247920133
978,25.0,50.0,0.7,0.05,1.0,0.2801580698835274,0.27433444259567386,0.27433444259567386,0.2801580698835274,0.2801580698835274
979,25.0,50.0,0.7,0.05,1.0,0.2801580698835274,0.27433444259567386,0.27433444259567386,0.2801580698835274,0.2801580698835274
980,25.0,50.0,0.7,0.05,1.0,0.1836522462562396,0.17824459234608986,0.1836522462562396,0.1836522462562396,0.1836522462562396
981,25.0,50.0,0.7,0.05,1.0,0.3088602329450915,0.30303660565723795,0.30303660565723795,0.3057404326123128,0.3057404326123128
982,25.0,50.0,0.7,0.05,1.0,0.2021630615640599,0.21630615640599002,0.2160981697171381,0.2992928452579035,0.31426788685524126
983,25.0,50.0,0.7,0.05,1.0,0.22483361064891846,0.2549916805324459,0.2608153078202995,0.2549916805324459,0.2549916805324459
984,25.0,50.0,0.7,0.05,1.0,0.22483361064891846,0.2549916805324459,0.2608153078202995,0.2549916805324459,0.2549916805324459
985,25.0,50.0,0.7,0.05,1.0,0.22483361064891846,0.2549916805324459,0.2608153078202995,0.2549916805324459,0.2549916805324459
986,25.0,50.0,0.7,0.05,1.0,0.1836522462562396,0.17824459234608986,0.1836522462562396,0.1836522462562396,0.1836522462562396
987,25.0,50.0,0.7,0.05,1.0,0.2021630615640599,0.23835274542429286,0.24417637271214643,0.23835274542429286,0.2949251247920133
988,25.0,50.0,0.7,0.05,1.0,0.2021630615640599,0.21630615640599002,0.2160981697171381,0.2992928452579035,0.31426788685524126
