cluster_size,db_index
2,0.9955151704834501
3,0.8333330614852276
4,0.8260237098568517
5,0.9739859757312898
6,1.1308102678148833
7,0.9883020528513197
8,0.9761229121299866
9,1.0894115575150776
10,1.0942748583266986
11,1.0608513521320069
12,0.9836816197634636
13,0.9928510917111524
14,1.0660150132141755
15,1.0838783920083215
16,1.105023422579106
17,1.1073337630615252
18,1.1190182521610548
19,1.1368109898685355
20,1.1547600163924663
21,1.165624645314912
22,1.1890023213153293
23,1.2873425636715545
24,1.2815427669051507
25,1.3043328366978981
26,1.2714337161888283
27,1.2786064981924612
28,1.2806130544230894
29,1.2965756532559345
30,1.3208086678889965
31,1.3026069580277793
32,1.2935408259982473
33,1.2956234738153005
34,1.3096913981419
35,1.3312106975591513
36,1.3166505894223484
37,1.288823565795953
38,1.296521813582778
39,1.2858342416313946
40,1.298288820887418
41,1.3082203502593217
42,1.3132610911973799
43,1.3043655490899346
44,1.3198404544155793
45,1.3098422045477478
46,1.299567535866256
47,1.2888029976530428
48,1.2806548134132327
49,1.2816478531671809
50,1.2726886477969352
