,population,max_generations,combination_prob,mutation_prob,iteration,k7,k10,k15,k20,k25
1944,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1945,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1946,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1947,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1948,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1949,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1950,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1951,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1952,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1953,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1954,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1955,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1956,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1957,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1958,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1959,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1960,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1961,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1962,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1963,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1964,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1965,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1966,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1967,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1968,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1969,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1970,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1971,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1972,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1973,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1974,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1975,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1976,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1977,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1978,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1979,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1980,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1981,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1982,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1983,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1984,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1985,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1986,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1987,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1988,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1989,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1990,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1991,25.0,50.0,0.7,0.05,1.0,0.14207792207792208,0.1457142857142857,0.14659910892027678,0.14659910892027678,0.14675703858185613
1992,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1993,25.0,50.0,0.7,0.05,1.0,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812,0.1782195468764812
1994,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1995,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1996,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1997,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
1998,25.0,50.0,0.7,0.05,1.0,0.15019319366764622,0.15294644042089295,0.1580892975637501,0.1580892975637501,0.1580892975637501
1999,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
2000,25.0,50.0,0.7,0.05,1.0,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282,0.1798856763674282
